,price
8917,460000.0
10356,500000.0
2601,381500.0
2981,385000.0
1056,379000.0
20207,454950.0
21200,720000.0
4903,259950.0
744,395000.0
20121,635000.0
10897,430000.0
12384,570500.0
8869,843500.0
17380,310000.0
17608,970000.0
554,396000.0
147,430000.0
4586,363750.0
12500,162000.0
18964,890000.0
244,480000.0
4961,525000.0
3681,275000.0
19538,379950.0
7505,184000.0
14634,640000.0
20278,803100.0
1992,399950.0
17301,475000.0
1624,750000.0
20882,644000.0
17845,249500.0
8637,530000.0
20854,690000.0
4223,571900.0
2743,388000.0
861,565000.0
16937,240000.0
13505,585000.0
10287,196700.0
1817,1315000.0
63,549000.0
0,221900.0
17265,545000.0
20780,380000.0
16914,425000.0
13973,425000.0
7254,1045000.0
2192,750000.0
3753,549000.0
21529,670000.0
8815,353750.0
6122,420550.0
4801,410000.0
2323,552500.0
13322,739888.0
17672,690000.0
4483,702000.0
17323,379000.0
13348,732000.0
8520,553000.0
19638,834950.0
20948,605000.0
20829,735000.0
8764,1200000.0
6502,309212.0
14196,490000.0
8409,871000.0
13634,353500.0
4306,649950.0
17465,650000.0
3534,205000.0
8028,1325000.0
11861,530000.0
21586,505000.0
20663,306000.0
13404,546000.0
11469,451000.0
422,538000.0
1197,361000.0
14354,795000.0
7751,725000.0
20530,799000.0
16607,420000.0
7005,368000.0
6112,250000.0
19573,541338.0
20554,416286.0
16041,390000.0
18145,475000.0
10506,535950.0
17131,315000.0
18822,390000.0
7072,360000.0
20765,770000.0
7134,305000.0
16599,710000.0
16578,249000.0
12330,162248.0
13891,374000.0
10841,265000.0
13159,252500.0
9929,640000.0
14967,458000.0
8334,358000.0
1442,352950.0
1149,75000.0
10514,342000.0
15604,700000.0
6134,350000.0
7554,322500.0
1651,255000.0
8192,180000.0
10638,520000.0
18104,361000.0
6371,842500.0
6940,225000.0
19792,385000.0
3379,415000.0
11220,264950.0
18419,265000.0
14910,329500.0
9490,328000.0
15837,440000.0
13752,471001.0
8122,544800.0
9696,315000.0
12029,485000.0
19095,665000.0
15004,233000.0
10269,480000.0
9681,475000.0
11176,357500.0
431,988000.0
20701,545000.0
12812,420000.0
12339,415000.0
16886,507500.0
19441,490000.0
8114,380000.0
492,232000.0
3942,675000.0
17884,360000.0
1341,960000.0
7994,305000.0
14954,795000.0
10955,571000.0
9892,420000.0
1606,780000.0
14109,274950.0
10809,218500.0
17478,597500.0
15987,436000.0
15877,282500.0
19447,310000.0
14406,605000.0
2029,325000.0
7180,700000.0
18913,224000.0
18113,240000.0
14955,650000.0
17727,839000.0
16562,445000.0
122,395000.0
2672,569000.0
20702,333700.0
14830,465000.0
15948,555000.0
970,532500.0
11872,332500.0
7820,265000.0
7691,320000.0
18394,325000.0
13686,265000.0
1295,420000.0
8614,575700.0
1722,345000.0
18725,180000.0
11077,630000.0
18242,480000.0
14890,530000.0
8932,273000.0
12396,943500.0
3046,386900.0
8727,650000.0
5426,780000.0
10022,200000.0
10193,260000.0
19645,425000.0
1231,360000.0
10426,447000.0
6117,277500.0
8574,316000.0
13519,135000.0
17816,600000.0
1109,367000.0
3196,375000.0
17514,650000.0
5886,1200000.0
19497,380000.0
1563,607010.0
5664,800000.0
1440,1355000.0
8465,324950.0
20779,240000.0
2677,399500.0
2699,250000.0
16533,651000.0
12498,627250.0
2727,779000.0
12184,429000.0
11445,570000.0
9803,305000.0
13346,375000.0
8213,190000.0
12173,350000.0
20877,627000.0
17309,147500.0
5060,460000.0
13988,1225000.0
20312,399950.0
5542,428400.0
16286,792000.0
17076,845000.0
15000,289000.0
1801,615000.0
16227,485000.0
9171,505000.0
18918,675000.0
12658,290000.0
11894,672500.0
8339,675000.0
17906,239000.0
10262,269950.0
11345,370000.0
9735,259000.0
7979,590000.0
9017,430000.0
11258,379900.0
16066,250000.0
1019,321500.0
10581,198000.0
16093,383000.0
14820,380000.0
9045,600000.0
17420,416000.0
6835,190000.0
9037,250000.0
11437,440000.0
15815,322000.0
12229,525000.0
2194,265000.0
12358,324950.0
2725,298500.0
17924,420000.0
12724,130000.0
7678,299900.0
4449,379500.0
3272,600000.0
13151,394000.0
3023,409500.0
7285,474950.0
20789,504058.0
4351,458500.0
2362,278000.0
4887,930000.0
17650,496600.0
15582,458000.0
16642,712000.0
3890,395000.0
18425,420000.0
1305,428000.0
6606,204950.0
4547,221000.0
18714,534000.0
20066,769900.0
18977,335000.0
10630,338000.0
21392,358000.0
13685,555000.0
8451,739900.0
8769,235000.0
4737,425000.0
9018,580000.0
225,390000.0
3631,525000.0
10118,319000.0
2500,700000.0
15089,321000.0
16285,565000.0
2012,760000.0
1600,650000.0
2333,555000.0
7477,370000.0
2063,510000.0
5713,263000.0
13040,777700.0
14311,250000.0
20152,1481000.0
2617,210000.0
5678,575000.0
9023,806000.0
3427,732350.0
919,290000.0
13770,1350000.0
183,163500.0
17794,749000.0
19869,625250.0
1889,345000.0
14831,295000.0
12129,675000.0
20907,325000.0
10155,750000.0
6916,1370000.0
1488,514000.0
7053,940000.0
16167,375000.0
18819,519000.0
21278,335900.0
1965,375000.0
6480,217000.0
8477,339950.0
19694,340000.0
3743,312500.0
14439,495000.0
9978,755000.0
12629,340000.0
7076,990000.0
13584,390000.0
10634,645000.0
11137,368000.0
12250,325000.0
12002,389950.0
15496,423000.0
5685,510000.0
8876,323500.0
9475,215000.0
21300,453000.0
5469,450000.0
18063,320000.0
6963,240000.0
4098,1055000.0
11891,625000.0
9104,429000.0
9369,925000.0
2130,678500.0
6568,535000.0
19735,484259.0
17520,570000.0
2652,872000.0
5092,823000.0
6220,535000.0
7760,174000.0
4639,360000.0
17760,325000.0
5020,798750.0
4360,800000.0
7597,825000.0
19958,950000.0
15160,975000.0
18901,325500.0
13205,575000.0
8214,320000.0
4334,705000.0
21223,561000.0
901,800000.0
1057,699000.0
16256,400000.0
7033,365000.0
6455,344950.0
2503,575000.0
12059,715000.0
11051,265000.0
16908,457000.0
17559,355000.0
13664,655000.0
14911,464950.0
2141,82500.0
3953,317000.0
19711,645000.0
5844,203000.0
3562,539950.0
1027,315000.0
7642,253000.0
15712,150000.0
14854,550000.0
16645,367000.0
12845,737000.0
13708,670000.0
951,601000.0
15034,330000.0
15870,640000.0
19795,369000.0
1370,260000.0
12780,199950.0
367,810000.0
21312,490000.0
19860,293467.0
976,469500.0
20791,760005.0
1170,900000.0
3024,453000.0
2094,248000.0
19158,685000.0
2097,688000.0
6003,435000.0
8352,532000.0
6137,325000.0
15337,235000.0
14261,495000.0
19034,355000.0
14306,392800.0
5603,370000.0
12759,544950.0
8695,410000.0
19872,437000.0
8098,640000.0
15655,400000.0
20142,550000.0
9707,229950.0
8497,209500.0
18594,1135250.0
16509,300000.0
3694,317000.0
14428,980000.0
11286,278000.0
19667,1450000.0
17144,465000.0
9744,300000.0
18766,443000.0
19141,266490.0
8501,911100.0
15052,429900.0
5323,319950.0
4989,335000.0
17160,429900.0
7548,575000.0
2450,409900.0
20155,395000.0
9358,356000.0
9304,224000.0
12841,349000.0
14432,361000.0
14681,1475000.0
14410,765000.0
6535,775000.0
11566,310000.0
10744,545000.0
16629,598000.0
13112,360000.0
3623,525000.0
15320,365000.0
15195,244000.0
2811,963990.0
103,1088000.0
11801,400000.0
1692,825000.0
14517,345000.0
18978,485000.0
8831,1010000.0
19012,736000.0
10037,529000.0
8243,695000.0
13939,348000.0
8399,507000.0
1725,368000.0
9653,392000.0
10855,500000.0
7906,625000.0
273,236000.0
529,662000.0
8176,299000.0
17545,500000.0
8066,450000.0
13154,385000.0
15012,412000.0
2411,487000.0
6762,1185000.0
954,851000.0
8278,453000.0
14845,289000.0
8402,248000.0
14510,380000.0
2182,499000.0
9464,250600.0
21160,415000.0
16398,245000.0
10183,419990.0
15477,802000.0
3195,414000.0
15639,334950.0
19027,623000.0
1233,208000.0
7357,325000.0
16317,545000.0
1104,817500.0
8238,585000.0
14219,234000.0
7405,564000.0
15357,476000.0
16125,800000.0
12416,680000.0
5405,365000.0
12957,169500.0
6264,560000.0
3462,460000.0
1344,729953.0
1803,1135000.0
8677,496000.0
17187,531800.0
8709,649990.0
20417,557000.0
13800,775000.0
3648,335000.0
131,660500.0
9595,236000.0
15459,497950.0
4998,400000.0
13797,535000.0
5036,280000.0
11757,160000.0
1653,415000.0
15016,325000.0
1861,405000.0
6364,582500.0
10608,367000.0
11495,455000.0
5976,509007.0
19627,413800.0
11968,831000.0
4714,827500.0
5219,162500.0
